Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
1.00000000000000e+001	(-2.83796886880140e-004dB,1.79711710539766e+002°)
1.02329299228075e+001	(-2.88976581010819e-004dB,1.79704995532852e+002°)
1.04712854805090e+001	(-2.94400379980970e-004dB,1.79698124121720e+002°)
1.07151930523761e+001	(-3.00079787464417e-004dB,1.79691092663847e+002°)
1.09647819614319e+001	(-3.06026849215967e-004dB,1.79683897431909e+002°)
1.12201845430196e+001	(-3.12254178623733e-004dB,1.79676534611805e+002°)
1.14815362149688e+001	(-3.18774983455877e-004dB,1.79669000300645e+002°)
1.17489755493953e+001	(-3.25603093854867e-004dB,1.79661290504678e+002°)
1.20226443461741e+001	(-3.32752991682495e-004dB,1.79653401137186e+002°)
1.23026877081238e+001	(-3.40239841192577e-004dB,1.79645328016319e+002°)
1.25892541179417e+001	(-3.48079521217518e-004dB,1.79637066862882e+002°)
1.28824955169313e+001	(-3.56288658810970e-004dB,1.79628613298076e+002°)
1.31825673855641e+001	(-3.64884664506741e-004dB,1.79619962841183e+002°)
1.34896288259165e+001	(-3.73885769233593e-004dB,1.79611110907193e+002°)
1.38038426460288e+001	(-3.83311062968001e-004dB,1.79602052804383e+002°)
1.41253754462275e+001	(-3.93180535182839e-004dB,1.79592783731839e+002°)
1.44543977074593e+001	(-4.03515117254142e-004dB,1.79583298776915e+002°)
1.47910838816821e+001	(-4.14336726816421e-004dB,1.79573592912644e+002°)
1.51356124843621e+001	(-4.25668314223880e-004dB,1.79563660995075e+002°)
1.54881661891248e+001	(-4.37533911203512e-004dB,1.79553497760562e+002°)
1.58489319246111e+001	(-4.49958681791888e-004dB,1.79543097822981e+002°)
1.62181009735893e+001	(-4.62968975683099e-004dB,1.79532455670889e+002°)
1.65958690743756e+001	(-4.76592384059454e-004dB,1.79521565664614e+002°)
1.69824365246174e+001	(-4.90857798089350e-004dB,1.79510422033276e+002°)
1.73780082874937e+001	(-5.05795470145605e-004dB,1.79499018871747e+002°)
1.77827941003892e+001	(-5.21437077931635e-004dB,1.79487350137534e+002°)
1.81970085860998e+001	(-5.37815791599668e-004dB,1.79475409647591e+002°)
1.86208713666287e+001	(-5.54966344060976e-004dB,1.79463191075060e+002°)
1.90546071796325e+001	(-5.72925104563693e-004dB,1.79450687945938e+002°)
1.94984459975804e+001	(-5.91730155780700e-004dB,1.79437893635664e+002°)
1.99526231496888e+001	(-6.11421374485168e-004dB,1.79424801365628e+002°)
2.04173794466953e+001	(-6.32040516041830e-004dB,1.79411404199604e+002°)
2.08929613085404e+001	(-6.53631302879438e-004dB,1.79397695040098e+002°)
2.13796208950223e+001	(-6.76239517111815e-004dB,1.79383666624610e+002°)
2.18776162394955e+001	(-6.99913097509715e-004dB,1.79369311521816e+002°)
2.23872113856834e+001	(-7.24702241070099e-004dB,1.79354622127660e+002°)
2.29086765276777e+001	(-7.50659509318615e-004dB,1.79339590661353e+002°)
2.34422881531992e+001	(-7.77839939648960e-004dB,1.79324209161291e+002°)
2.39883291901949e+001	(-8.06301161877476e-004dB,1.79308469480866e+002°)
2.45470891568503e+001	(-8.36103520270546e-004dB,1.79292363284193e+002°)
2.51188643150958e+001	(-8.67310201348708e-004dB,1.79275882041736e+002°)
2.57039578276886e+001	(-8.99987367662567e-004dB,1.79259017025831e+002°)
2.63026799189538e+001	(-9.34204297851404e-004dB,1.79241759306113e+002°)
2.69153480392691e+001	(-9.70033533341830e-004dB,1.79224099744835e+002°)
2.75422870333816e+001	(-1.00755103186649e-003dB,1.79206028992085e+002°)
2.81838293126445e+001	(-1.04683632824919e-003dB,1.79187537480892e+002°)
2.88403150312660e+001	(-1.08797270273035e-003dB,1.79168615422218e+002°)
2.95120922666638e+001	(-1.13104735719750e-003dB,1.79149252799849e+002°)
3.01995172040201e+001	(-1.17615159968965e-003dB,1.79129439365155e+002°)
3.09029543251359e+001	(-1.22338103757251e-003dB,1.79109164631746e+002°)
3.16227766016838e+001	(-1.27283577979627e-003dB,1.79088417869998e+002°)
3.23593656929628e+001	(-1.32462064862388e-003dB,1.79067188101467e+002°)
3.31131121482591e+001	(-1.37884540132876e-003dB,1.79045464093163e+002°)
3.38844156139202e+001	(-1.43562496225444e-003dB,1.79023234351715e+002°)
3.46736850452531e+001	(-1.49507966582164e-003dB,1.79000487117389e+002°)
3.54813389233575e+001	(-1.55733551087783e-003dB,1.78977210357981e+002°)
3.63078054770101e+001	(-1.62252442702104e-003dB,1.78953391762580e+002°)
3.71535229097172e+001	(-1.69078455338251e-003dB,1.78929018735180e+002°)
3.80189396320561e+001	(-1.76226053049618e-003dB,1.78904078388162e+002°)
3.89045144994280e+001	(-1.83710380583610e-003dB,1.78878557535629e+002°)
3.98107170553497e+001	(-1.91547295369148e-003dB,1.78852442686592e+002°)
4.07380277804112e+001	(-1.99753401000042e-003dB,1.78825720038014e+002°)
4.16869383470335e+001	(-2.08346082287401e-003dB,1.78798375467694e+002°)
4.26579518801592e+001	(-2.17343541955031e-003dB,1.78770394527006e+002°)
4.36515832240165e+001	(-2.26764839048450e-003dB,1.78741762433469e+002°)
4.46683592150962e+001	(-2.36629929144970e-003dB,1.78712464063167e+002°)
4.57088189614874e+001	(-2.46959706441850e-003dB,1.78682483943005e+002°)
4.67735141287197e+001	(-2.57776047813569e-003dB,1.78651806242789e+002°)
4.78630092322638e+001	(-2.69101858927057e-003dB,1.78620414767154e+002°)
4.89778819368445e+001	(-2.80961122512739e-003dB,1.78588292947305e+002°)
5.01187233627271e+001	(-2.93378948888448e-003dB,1.78555423832598e+002°)
5.12861383991364e+001	(-3.06381628843552e-003dB,1.78521790081927e+002°)
5.24807460249772e+001	(-3.19996688988409e-003dB,1.78487373954950e+002°)
5.37031796370252e+001	(-3.34252949686536e-003dB,1.78452157303120e+002°)
5.49540873857624e+001	(-3.49180585687096e-003dB,1.78416121560536e+002°)
5.62341325190348e+001	(-3.64811189580555e-003dB,1.78379247734605e+002°)
5.75439937337156e+001	(-3.81177838211543e-003dB,1.78341516396511e+002°)
5.88843655355588e+001	(-3.98315162180744e-003dB,1.78302907671502e+002°)
6.02559586074357e+001	(-4.16259418577758e-003dB,1.78263401228965e+002°)
6.16595001861481e+001	(-4.35048567097899e-003dB,1.78222976272320e+002°)
6.30957344480192e+001	(-4.54722349691316e-003dB,1.78181611528704e+002°)
6.45654229034654e+001	(-4.75322373910895e-003dB,1.78139285238457e+002°)
6.60693448007595e+001	(-4.96892200124938e-003dB,1.78095975144403e+002°)
6.76082975391980e+001	(-5.19477432771298e-003dB,1.78051658480928e+002°)
6.91830970918935e+001	(-5.43125815840068e-003dB,1.78006311962848e+002°)
7.07945784384136e+001	(-5.67887332770777e-003dB,1.77959911774069e+002°)
7.24435960074988e+001	(-5.93814310969448e-003dB,1.77912433556035e+002°)
7.41310241300916e+001	(-6.20961531153493e-003dB,1.77863852395974e+002°)
7.58577575029182e+001	(-6.49386341739989e-003dB,1.77814142814919e+002°)
7.76247116628690e+001	(-6.79148778508713e-003dB,1.77763278755522e+002°)
7.94328234724279e+001	(-7.10311689775221e-003dB,1.77711233569663e+002°)
8.12830516164097e+001	(-7.42940867317761e-003dB,1.77657980005833e+002°)
8.31763771102669e+001	(-7.77105183323870e-003dB,1.77603490196315e+002°)
8.51138038202374e+001	(-8.12876733616513e-003dB,1.77547735644146e+002°)
8.70963589956078e+001	(-8.50330987446959e-003dB,1.77490687209875e+002°)
8.91250938133743e+001	(-8.89546944138708e-003dB,1.77432315098111e+002°)
9.12010839355907e+001	(-9.30607296893068e-003dB,1.77372588843861e+002°)
9.33254300796988e+001	(-9.73598604067846e-003dB,1.77311477298665e+002°)
9.54992586021433e+001	(-1.01861146825815e-002dB,1.77248948616537e+002°)
9.77237220955808e+001	(-1.06574072352372e-002dB,1.77184970239700e+002°)
9.99999999999997e+001	(-1.11508563111597e-002dB,1.77119508884134e+002°)
1.02329299228075e+002	(-1.16675008407788e-002dB,1.77052530524938e+002°)
1.04712854805090e+002	(-1.22084282109579e-002dB,1.76984000381509e+002°)
1.07151930523760e+002	(-1.27747765000818e-002dB,1.76913882902546e+002°)
1.09647819614318e+002	(-1.33677368138360e-002dB,1.76842141750895e+002°)
1.12201845430196e+002	(-1.39885557259627e-002dB,1.76768739788225e+002°)
1.14815362149688e+002	(-1.46385378284922e-002dB,1.76693639059573e+002°)
1.17489755493953e+002	(-1.53190483960632e-002dB,1.76616800777735e+002°)
1.20226443461741e+002	(-1.60315161691137e-002dB,1.76538185307549e+002°)
1.23026877081238e+002	(-1.67774362609532e-002dB,1.76457752150060e+002°)
1.25892541179416e+002	(-1.75583731938259e-002dB,1.76375459926589e+002°)
1.28824955169313e+002	(-1.83759640692913e-002dB,1.76291266362730e+002°)
1.31825673855640e+002	(-1.92319218784527e-002dB,1.76205128272282e+002°)
1.34896288259165e+002	(-2.01280389576735e-002dB,1.76117001541142e+002°)
1.38038426460288e+002	(-2.10661905956742e-002dB,1.76026841111182e+002°)
1.41253754462275e+002	(-2.20483387980936e-002dB,1.75934600964128e+002°)
1.44543977074592e+002	(-2.30765362156561e-002dB,1.75840234105474e+002°)
