time	V(n002)
Step Information: Run=2  (Run: 1/99)
0.000000000000000e+000	0.000000e+000
5.731071999476257e-006	1.388305e-005
1.373107199947630e-005	2.409513e-005
2.733107199947620e-005	3.060071e-005
8.233107199947742e-005	3.304340e-005
1.006310719994779e-004	3.304955e-005
2.030310719994804e-004	3.300501e-005
3.054310719994828e-004	3.292400e-005
4.078310719994853e-004	3.280890e-005
5.102310719994759e-004	3.265987e-005
6.126310719994229e-004	3.247703e-005
7.150310719993699e-004	3.226058e-005
8.174310719993169e-004	3.201076e-005
9.198310719992638e-004	3.172780e-005
1.022231071999260e-003	3.141202e-005
1.124631071999318e-003	3.106373e-005
1.227031071999376e-003	3.068329e-005
1.329431071999434e-003	3.027110e-005
1.431831071999492e-003	2.982759e-005
1.534231071999550e-003	2.935321e-005
1.636631071999608e-003	2.884846e-005
1.739031071999666e-003	2.831385e-005
1.841431071999724e-003	2.774995e-005
1.943831071999782e-003	2.715732e-005
2.046231071999638e-003	2.653660e-005
2.148631071999474e-003	2.588841e-005
2.251031071999310e-003	2.521344e-005
2.353431071999146e-003	2.451237e-005
2.455831071998982e-003	2.378594e-005
2.558231071998818e-003	2.303489e-005
2.660631071998654e-003	2.226001e-005
2.763031071998490e-003	2.146209e-005
2.865431071998326e-003	2.064196e-005
2.967831071998162e-003	1.980048e-005
3.070231071997998e-003	1.893850e-005
3.172631071997834e-003	1.805692e-005
3.275031071997670e-003	1.715666e-005
3.377431071997506e-003	1.623865e-005
3.479831071997342e-003	1.530383e-005
3.582231071997178e-003	1.435318e-005
3.684631071997014e-003	1.338767e-005
3.787031071996850e-003	1.240830e-005
3.889431071996686e-003	1.141610e-005
3.991831071996892e-003	1.041209e-005
4.094231071997172e-003	9.397296e-006
4.196631071997452e-003	8.372781e-006
4.299031071997733e-003	7.339602e-006
4.401431071998013e-003	6.298828e-006
4.503831071998293e-003	5.251535e-006
4.606231071998573e-003	4.198809e-006
4.708631071998853e-003	3.141737e-006
4.811031071999133e-003	2.081414e-006
4.913431071999413e-003	1.018937e-006
5.015831071999693e-003	-4.459383e-008
5.118231071999973e-003	-1.108079e-006
5.220631072000253e-003	-2.170417e-006
5.323031072000533e-003	-3.230509e-006
5.425431072000813e-003	-4.287259e-006
5.527831072001093e-003	-5.339572e-006
5.630231072001373e-003	-6.386359e-006
5.732631072001653e-003	-7.426538e-006
5.835031072001933e-003	-8.459031e-006
5.937431072002213e-003	-9.482772e-006
6.039831072002493e-003	-1.049670e-005
6.142231072002773e-003	-1.149976e-005
6.244631072003053e-003	-1.249093e-005
6.347031072003333e-003	-1.346917e-005
6.449431072003613e-003	-1.443347e-005
6.551831072003893e-003	-1.538284e-005
6.654231072004174e-003	-1.631628e-005
6.756631072004454e-003	-1.723284e-005
6.859031072004734e-003	-1.813157e-005
6.961431072005014e-003	-1.901154e-005
7.063831072005294e-003	-1.987183e-005
7.166231072005574e-003	-2.071156e-005
7.268631072005854e-003	-2.152986e-005
7.371031072006134e-003	-2.232588e-005
7.473431072006414e-003	-2.309879e-005
7.575831072006694e-003	-2.384780e-005
7.678231072006974e-003	-2.457214e-005
7.780631072007254e-003	-2.527105e-005
7.883031072006922e-003	-2.594380e-005
7.985431072006314e-003	-2.658971e-005
8.087831072005705e-003	-2.720810e-005
8.190231072005097e-003	-2.779834e-005
8.292631072004489e-003	-2.835981e-005
8.395031072003881e-003	-2.889193e-005
8.497431072003273e-003	-2.939416e-005
8.599831072002665e-003	-2.986597e-005
8.702231072002057e-003	-3.030687e-005
8.804631072001449e-003	-3.071642e-005
8.907031072000840e-003	-3.109417e-005
9.009431072000232e-003	-3.143975e-005
9.111831071999624e-003	-3.175280e-005
9.214231071999016e-003	-3.203298e-005
9.316631071998408e-003	-3.228002e-005
9.419031071997800e-003	-3.249365e-005
9.521431071997192e-003	-3.267366e-005
9.623831071996583e-003	-3.281986e-005
9.726231071995975e-003	-3.293210e-005
9.828631071995367e-003	-3.301026e-005
9.931031071994759e-003	-3.305425e-005
9.999931071994350e-003	-3.306461e-005
1.000000000000000e-002	-3.306461e-005
Step Information: Run=3  (Run: 2/99)
0.000000000000000e+000	0.000000e+000
5.731071999476257e-006	1.368160e-005
1.403107199947630e-005	2.361115e-005
2.913107199947618e-005	2.955256e-005
1.005310719994779e-004	3.120362e-005
2.029310719994804e-004	3.116049e-005
3.053310719994828e-004	3.108384e-005
4.077310719994853e-004	3.097503e-005
5.101310719994760e-004	3.083417e-005
6.125310719994230e-004	3.066139e-005
7.149310719993699e-004	3.045689e-005
8.173310719993169e-004	3.022088e-005
9.197310719992639e-004	2.995359e-005
1.022131071999260e-003	2.965530e-005
1.124531071999318e-003	2.932632e-005
1.226931071999376e-003	2.896700e-005
1.329331071999434e-003	2.857770e-005
1.431731071999492e-003	2.815883e-005
1.534131071999550e-003	2.771082e-005
1.636531071999608e-003	2.723414e-005
1.738931071999666e-003	2.672927e-005
1.841331071999724e-003	2.619675e-005
1.943731071999782e-003	2.563711e-005
2.046131071999639e-003	2.505094e-005
2.148531071999475e-003	2.443886e-005
2.250931071999310e-003	2.380148e-005
2.353331071999146e-003	2.313947e-005
2.455731071998982e-003	2.245352e-005
2.558131071998818e-003	2.174433e-005
2.660531071998654e-003	2.101264e-005
2.762931071998490e-003	2.025920e-005
2.865331071998326e-003	1.948481e-005
2.967731071998162e-003	1.869024e-005
3.070131071997998e-003	1.787634e-005
3.172531071997834e-003	1.704394e-005
3.274931071997670e-003	1.619390e-005
3.377331071997506e-003	1.532710e-005
3.479731071997342e-003	1.444445e-005
3.582131071997178e-003	1.354684e-005
3.684531071997014e-003	1.263522e-005
3.786931071996850e-003	1.171052e-005
3.889331071996686e-003	1.077371e-005
3.991731071996892e-003	9.825741e-006
4.094131071997172e-003	8.867609e-006
4.196531071997452e-003	7.900300e-006
4.298931071997732e-003	6.924816e-006
4.401331071998012e-003	5.942166e-006
4.503731071998292e-003	4.953366e-006
4.606131071998572e-003	3.959442e-006
4.708531071998852e-003	2.961419e-006
