Time (s),Output (V)
0,0
2.442598925256473e-07,0.001953125
4.885197850512946e-07,0.00390625
7.327796775769418e-07,0.0078125
9.770395701025891e-07,0.009765625
1.221299462628237e-06,0.01171875
1.465559355153884e-06,0.015625
1.709819247679531e-06,0.017578125
1.954079140205178e-06,0.01953125
2.198339032730826e-06,0.0234375
2.442598925256473e-06,0.025390625
2.68685881778212e-06,0.02734375
2.931118710307767e-06,0.03125
3.175378602833415e-06,0.033203125
3.419638495359062e-06,0.03515625
3.663898387884709e-06,0.0390625
3.908158280410357e-06,0.041015625
4.152418172936004e-06,0.04296875
4.396678065461652e-06,0.046875
4.640937957987298e-06,0.048828125
4.885197850512946e-06,0.052734375
5.129457743038594e-06,0.0546875
5.37371763556424e-06,0.056640625
5.617977528089887e-06,0.060546875
5.862237420615535e-06,0.0625
6.106497313141182e-06,0.064453125
6.35075720566683e-06,0.068359375
6.595017098192477e-06,0.0703125
6.839276990718124e-06,0.072265625
7.083536883243772e-06,0.076171875
7.327796775769419e-06,0.078125
7.572056668295066e-06,0.080078125
7.816316560820713e-06,0.083984375
8.060576453346361e-06,0.0859375
8.304836345872008e-06,0.087890625
8.549096238397657e-06,0.091796875
8.793356130923303e-06,0.09375
9.037616023448949e-06,0.095703125
9.281875915974597e-06,0.099609375
9.526135808500244e-06,0.1015625
9.770395701025892e-06,0.10546875
1.001465559355154e-05,0.107421875
1.025891548607719e-05,0.109375
1.050317537860283e-05,0.11328125
1.074743527112848e-05,0.115234375
1.099169516365413e-05,0.1171875
1.123595505617977e-05,0.12109375
1.148021494870542e-05,0.123046875
1.172447484123107e-05,0.125
1.196873473375672e-05,0.12890625
1.221299462628236e-05,0.130859375
1.245725451880801e-05,0.1328125
1.270151441133366e-05,0.13671875
1.294577430385931e-05,0.138671875
1.319003419638495e-05,0.140625
1.34342940889106e-05,0.14453125
1.367855398143625e-05,0.146484375
1.39228138739619e-05,0.1484375
1.416707376648754e-05,0.15234375
1.441133365901319e-05,0.154296875
1.465559355153884e-05,0.15625
1.489985344406448e-05,0.16015625
1.514411333659013e-05,0.162109375
1.538837322911578e-05,0.166015625
1.563263312164143e-05,0.16796875
1.587689301416707e-05,0.169921875
1.612115290669272e-05,0.173828125
1.636541279921837e-05,0.17578125
1.660967269174402e-05,0.177734375
1.685393258426966e-05,0.181640625
1.709819247679531e-05,0.18359375
1.734245236932096e-05,0.185546875
1.758671226184661e-05,0.189453125
1.783097215437225e-05,0.19140625
1.80752320468979e-05,0.193359375
1.831949193942355e-05,0.197265625
1.856375183194919e-05,0.19921875
1.880801172447484e-05,0.201171875
1.905227161700049e-05,0.205078125
1.929653150952614e-05,0.20703125
1.954079140205178e-05,0.208984375
1.978505129457743e-05,0.212890625
2.002931118710308e-05,0.21484375
2.027357107962873e-05,0.21875
2.051783097215437e-05,0.220703125
2.076209086468002e-05,0.22265625
2.100635075720567e-05,0.2265625
2.125061064973132e-05,0.228515625
2.149487054225696e-05,0.23046875
2.173913043478261e-05,0.234375
2.198339032730826e-05,0.236328125
2.22276502198339e-05,0.23828125
2.247191011235955e-05,0.2421875
2.27161700048852e-05,0.244140625
2.296042989741085e-05,0.24609375
2.320468978993649e-05,0.25
2.344894968246214e-05,0.251953125
2.369320957498779e-05,0.25390625
2.393746946751344e-05,0.2578125
2.418172936003908e-05,0.259765625
2.442598925256473e-05,0.26171875
2.467024914509038e-05,0.265625
2.491450903761603e-05,0.267578125
2.515876893014167e-05,0.271484375
2.540302882266732e-05,0.2734375
2.564728871519297e-05,0.275390625
2.589154860771861e-05,0.279296875
2.613580850024426e-05,0.28125
2.638006839276991e-05,0.283203125
2.662432828529556e-05,0.287109375
2.68685881778212e-05,0.2890625
2.711284807034685e-05,0.291015625
2.73571079628725e-05,0.294921875
2.760136785539815e-05,0.296875
2.784562774792379e-05,0.298828125
2.808988764044944e-05,0.302734375
2.833414753297509e-05,0.3046875
2.857840742550073e-05,0.306640625
2.882266731802638e-05,0.310546875
2.906692721055203e-05,0.3125
2.931118710307767e-05,0.314453125
2.955544699560332e-05,0.318359375
2.979970688812897e-05,0.3203125
3.004396678065462e-05,0.32421875
3.028822667318027e-05,0.326171875
3.053248656570591e-05,0.328125
3.077674645823156e-05,0.33203125
